Student_ID,Age,Gender,Department,Level,Attendance,CGPA,Failed_Courses,LMS_Engagement,Financial_Stress,Dropout
ST1058,20,0,11,400,68,4.73,6,1,1,1
ST1059,17,0,12,100,44,3.59,8,0,1,1
ST1060,29,1,13,500,67,3.68,7,0,0,1
ST1061,16,1,8,500,81,0.99,8,0,0,1
ST1062,19,0,0,300,70,4.92,8,0,0,1
ST1063,29,0,1,300,94,3.46,8,1,0,0
ST1064,30,1,10,200,89,4.05,8,2,1,1
ST1065,35,0,14,400,32,1.44,4,2,1,1
ST1066,35,1,8,400,88,2.68,1,0,0,0
ST1067,32,0,12,200,84,2.56,6,2,0,1
ST1068,18,1,14,500,56,2.12,8,2,1,1
ST1069,19,0,13,300,91,0.79,6,1,0,1
ST1070,33,0,0,200,78,2.41,6,2,0,1
ST1071,16,1,4,500,88,4.23,1,1,1,0
ST1072,20,0,11,100,91,1.84,3,2,0,1
ST1073,33,0,8,200,87,0.53,0,2,0,1
ST1074,28,1,12,200,61,2.03,7,0,0,1
ST1075,29,1,5,500,62,2.63,6,2,1,1
ST1076,35,1,2,100,60,3.59,6,2,0,1
ST1077,18,0,5,300,67,4.78,1,2,0,0
ST1078,21,0,5,200,100,1.55,8,1,1,1
ST1079,26,0,13,200,62,2.91,8,2,1,1
ST1080,24,0,0,200,57,3.85,2,2,1,1
ST1081,35,1,11,300,61,1.63,5,2,0,1
ST1082,34,0,1,300,38,3.13,2,2,1,1
ST1083,22,1,3,100,90,3.79,8,0,0,0
ST1084,25,1,8,100,47,0.87,3,2,1,1
ST1085,22,1,11,400,91,3.66,3,1,1,1
ST1086,20,1,2,400,45,4.96,8,1,1,1
ST1087,19,1,12,300,66,1.6,4,2,0,1
ST1088,32,1,12,200,82,1.3,6,1,1,1
ST1089,20,0,11,300,62,4.62,5,1,0,1
ST1090,32,0,2,400,50,1.47,7,0,0,1
ST1091,32,1,5,400,87,4.43,3,0,1,0
ST1092,32,0,11,500,40,1.82,6,0,0,1
ST1093,16,1,5,400,93,1.13,5,0,1,1
ST1094,17,0,13,100,68,0.73,8,2,0,1
ST1095,34,1,0,500,40,3.46,4,2,1,1
ST1096,24,1,2,500,81,3.72,7,0,0,1
ST1097,35,0,7,200,70,2.57,7,2,0,1
ST1098,30,0,4,400,42,1.78,6,2,1,1
ST1099,34,1,4,400,69,1.16,8,1,0,1
ST1100,20,0,11,500,58,1.57,0,2,0,1
ST1101,28,1,7,300,89,0.63,7,0,0,1
ST1102,19,0,12,100,50,4.4,0,1,1,1
ST1103,28,1,3,400,95,0.59,6,2,1,1
ST1104,21,0,9,300,94,1.1,5,0,1,1
ST1105,27,1,7,400,39,2.95,8,1,0,1
ST1106,24,0,10,300,98,0.53,4,0,0,1
ST1107,30,0,3,100,90,4.17,7,2,0,0
ST1108,30,1,6,100,39,0.68,5,2,1,1
ST1109,32,0,5,100,60,1.85,4,0,0,1
ST1110,20,0,5,100,58,2.39,7,2,0,1
ST1111,20,1,12,200,63,4.6,0,2,0,1
ST1112,20,0,3,500,37,1.07,0,0,1,1
ST1113,29,0,8,400,72,3.34,5,2,0,1
ST1114,17,1,11,400,41,4.08,3,2,1,1
ST1115,24,1,14,300,62,2.86,3,1,1,1
ST1116,29,0,13,200,99,1.92,6,0,0,1
ST1117,30,0,5,400,77,2.99,3,1,1,1
ST1118,19,1,8,100,54,2.36,1,1,0,1
ST1119,21,0,11,400,41,4.61,1,0,0,1
ST1120,29,0,10,300,51,2.05,0,0,0,1
ST1121,20,1,6,400,38,2.5,7,1,1,1
ST1122,26,1,0,300,68,1.69,0,2,0,1
ST1123,29,1,9,100,40,4.46,4,0,0,1
ST1124,22,1,2,300,31,2.26,6,1,0,1
ST1125,29,1,12,400,81,1.94,0,2,0,0
ST1126,28,1,3,400,63,4.7,8,2,0,1
ST1127,33,1,2,300,53,3.56,6,0,0,1
ST1128,17,0,7,200,79,2.72,8,1,0,1
ST1129,24,1,14,300,85,4.75,6,2,1,1
ST1130,26,1,2,400,30,0.58,4,0,0,1
ST1131,35,0,0,100,59,0.77,0,0,1,1
ST1132,26,1,7,300,49,2.57,6,0,1,1
ST1133,21,1,14,100,52,4.8,0,2,0,1
ST1134,16,1,13,400,68,2.88,5,2,0,1
ST1135,20,1,8,400,99,3.88,6,1,1,0
ST1136,29,0,5,500,44,3.28,3,1,1,1
ST1137,31,1,3,400,44,0.63,0,2,0,1
ST1138,24,0,14,300,98,1.94,5,2,0,1
ST1139,34,0,4,300,100,3.79,2,1,1,1
ST1140,35,1,0,500,84,2.98,5,2,0,0
ST1141,23,1,2,300,60,4.01,7,2,0,1
ST1142,23,0,9,200,66,1.4,3,0,0,1
ST1143,31,1,2,400,56,1.33,1,2,0,1
ST1144,33,1,13,400,75,2.75,4,0,0,1
ST1145,23,0,0,500,73,4.54,2,1,0,1
ST1146,24,1,13,400,55,0.83,3,1,0,1
ST1147,20,0,4,200,92,4.82,2,0,0,1
ST1148,17,0,2,400,79,1.77,5,0,0,1
ST1149,29,1,9,300,65,0.6,0,2,0,1
ST1150,33,0,3,400,64,2.09,8,2,1,1
ST1151,28,0,4,200,96,2.1,6,2,0,0
ST1152,27,1,8,300,47,1.3,0,0,0,1
ST1153,30,0,12,300,59,4.29,5,0,1,1
ST1154,30,0,9,200,46,4.65,5,2,0,1
ST1155,16,0,1,500,41,2.46,7,0,1,1
ST1156,22,1,5,500,62,3.82,7,1,1,1
ST1157,28,1,13,400,61,1.7,8,2,0,1
ST1158,33,1,0,100,88,2.01,2,0,0,0
ST1159,16,1,9,300,72,2.54,1,0,0,1
ST1160,26,1,14,200,44,2.18,2,2,0,1
ST1161,28,0,2,200,96,4.54,2,1,0,0
ST1162,35,0,7,300,79,1.44,2,0,1,1
ST1163,24,0,12,200,87,0.61,0,1,0,1
ST1164,31,1,11,500,38,1.42,8,2,0,1
ST1165,26,0,4,500,68,4.47,3,2,0,1
ST1166,18,0,2,300,38,2.53,7,0,0,1
ST1167,32,1,4,500,100,3.87,6,2,0,0
ST1168,17,1,14,300,87,3.93,6,2,1,1
ST1169,24,1,14,400,66,1.37,4,2,1,1
ST1170,24,1,11,100,35,4.83,7,0,1,1
ST1171,31,1,10,200,32,3.55,1,2,0,1
ST1172,16,1,14,200,42,2.94,4,2,0,1
ST1173,32,1,14,200,31,3.91,1,1,0,1
ST1174,25,0,10,200,40,0.63,0,0,0,1
ST1175,35,0,11,100,98,3.32,3,1,0,0
ST1176,20,0,5,200,40,4.05,0,1,1,1
ST1177,23,0,2,300,66,3.72,4,2,0,1
ST1178,28,1,13,200,67,1.74,7,0,0,1
ST1179,20,1,7,100,72,3.07,0,1,1,1
ST1180,19,0,4,100,32,4.64,5,0,0,1
ST1181,23,0,10,500,44,4.85,3,2,1,1
ST1182,22,0,1,200,86,4.18,6,2,0,1
ST1183,20,1,0,300,72,3.6,8,1,0,1
ST1184,25,0,4,500,51,2.3,0,2,0,1
ST1185,32,0,4,100,71,0.56,6,2,0,1
ST1186,21,1,9,400,96,4.4,3,1,1,0
ST1187,25,1,12,400,37,3.78,4,1,0,1
ST1188,31,0,4,100,82,1.65,1,2,0,1
ST1189,25,0,4,100,99,1.09,0,1,1,1
ST1190,19,0,8,200,45,3.59,2,2,1,1
ST1191,17,0,0,200,75,3.97,1,2,0,1
ST1192,16,0,3,200,70,2.29,7,1,0,1
ST1193,18,1,10,100,70,1.49,8,0,1,1
ST1194,28,0,9,300,97,3.33,5,1,0,0
ST1195,27,0,14,100,84,1.11,6,2,1,1
ST1196,16,1,5,200,51,1.48,6,0,1,1
ST1197,25,0,0,100,91,2.81,7,2,0,0
ST1198,21,1,2,300,30,4.33,3,1,0,1
ST1199,24,1,4,100,43,3.19,5,2,1,1
ST1200,16,0,12,200,36,4.65,1,1,0,1
ST1201,27,1,4,100,55,4.55,5,0,1,1
ST1202,20,0,11,300,40,1.04,7,1,0,1
ST1203,16,1,12,400,99,1.97,4,2,1,1
ST1204,17,1,11,300,65,1.43,5,2,0,1
ST1205,29,0,3,400,72,4.06,1,1,0,1
ST1206,17,1,10,500,67,0.7,7,1,1,1
ST1207,20,0,9,300,42,4.65,7,1,1,1
ST1208,25,0,11,300,59,2.86,5,2,1,1
ST1209,35,0,13,100,45,1.82,8,1,1,1
ST1210,21,0,13,100,69,3.79,3,0,0,1
ST1211,20,0,2,200,72,4.02,3,2,1,1
ST1212,17,0,8,100,48,4.19,4,1,1,1
ST1213,24,1,0,300,38,2.96,5,2,1,1
ST1214,25,1,1,100,35,3.7,8,2,0,1
ST1215,23,1,0,500,49,1.39,6,1,1,1
ST1216,21,0,3,100,65,1.58,3,1,0,1
ST1217,20,1,5,400,80,0.98,3,2,0,1
ST1218,33,1,10,100,82,4.18,2,2,1,1
ST1219,35,1,12,300,38,1.04,4,1,0,1
ST1220,33,0,2,500,54,2.62,6,0,0,1
ST1221,17,0,12,100,62,2.4,1,0,1,1
ST1222,27,0,3,500,88,4.75,0,2,1,0
ST1223,23,0,3,400,90,1.19,5,1,0,1
ST1224,19,1,9,300,87,3.9,4,0,1,1
ST1225,35,1,8,500,70,2.85,2,0,0,1
ST1226,19,1,1,500,61,2.97,5,0,0,1
ST1227,24,1,5,100,71,4.31,6,2,1,1
ST1228,24,0,7,500,97,2.86,4,0,0,0
ST1229,27,1,4,400,88,4.55,4,2,1,0
ST1230,29,1,7,300,73,1.73,8,2,1,1
ST1231,18,1,4,400,35,1.41,0,1,0,1
ST1232,21,0,7,100,75,2.36,1,1,0,1
ST1233,30,1,5,400,40,1.6,1,0,1,1
ST1234,34,1,3,300,91,3.27,6,0,0,0
ST1235,19,0,7,100,68,4.74,5,1,0,1
ST1236,16,1,4,300,60,1.76,1,1,0,1
ST1237,24,1,14,500,92,2.32,2,2,0,0
ST1238,31,0,0,500,96,4.3,3,0,1,1
ST1239,24,1,10,100,58,3.9,2,2,0,1
ST1240,27,0,9,300,71,3.98,6,0,0,1
ST1241,29,1,6,100,59,1.06,4,0,1,1
ST1242,30,1,11,300,47,3.21,7,0,1,1
ST1243,31,1,12,500,95,2.88,8,2,0,1
ST1244,23,1,3,100,89,1.73,0,0,0,1
ST1245,25,1,3,400,42,2.97,2,0,1,1
ST1246,29,0,8,500,58,3.03,4,0,0,1
ST1247,32,1,10,400,100,2.76,6,0,0,0
ST1248,18,1,12,200,97,4.98,3,2,0,0
ST1249,19,1,7,100,79,3.64,0,2,1,1
ST1250,31,0,9,300,33,2.83,8,0,1,1
ST1251,29,1,12,500,57,4.8,7,2,1,1
ST1252,29,1,7,500,59,4.1,8,1,0,1
ST1253,31,1,5,500,54,3.38,4,2,0,1
ST1254,23,1,12,100,48,2.59,4,2,0,1
ST1255,33,1,1,400,100,1.17,5,0,0,1
ST1256,22,1,11,300,81,4.9,5,1,0,1
ST1257,18,1,4,300,67,0.64,3,2,1,1
ST1258,21,1,4,300,45,3.25,2,1,1,1
ST1259,35,1,1,200,48,2.79,6,2,0,1
ST1260,31,1,9,300,47,2.4,6,1,0,1
ST1261,19,0,3,100,92,4.82,1,0,0,1
ST1262,34,0,7,200,46,1.38,3,1,0,1
ST1263,17,0,13,400,94,1.61,8,1,0,1
ST1264,19,0,14,500,42,4.16,4,2,1,1
ST1265,17,1,9,400,76,1.96,1,0,1,1
ST1266,22,0,6,200,57,4.74,8,1,1,1
ST1267,30,0,12,200,79,0.92,1,0,0,1
ST1268,32,0,12,500,75,3.3,2,0,1,1
ST1269,29,1,0,400,86,1.35,8,0,1,1
ST1270,26,0,5,200,69,3.75,1,1,1,1
ST1271,32,0,7,400,41,3.58,1,1,1,1
ST1272,20,0,13,100,87,1.47,2,0,1,1
ST1273,29,1,6,400,90,2.29,5,2,1,1
ST1274,32,1,8,100,89,2.32,4,0,0,1
ST1275,35,0,8,200,45,2.02,8,1,0,1
ST1276,17,0,13,400,96,1.66,3,0,0,1
ST1277,22,1,13,400,46,0.88,7,0,0,1
ST1278,19,0,6,200,83,0.97,7,0,0,1
ST1279,23,0,2,100,95,3.46,3,0,0,0
ST1280,16,0,8,100,53,3.66,3,2,1,1
ST1281,25,1,7,300,60,4.98,4,1,0,1
ST1282,16,0,10,400,73,1.08,3,1,0,1
ST1283,16,0,3,200,33,1.85,2,0,0,1
ST1284,19,1,7,200,61,4.73,2,2,1,1
ST1285,32,0,10,200,46,4.68,2,0,0,1
ST1286,20,1,5,400,41,1.05,0,1,0,1
ST1287,29,0,3,500,31,3.78,0,1,0,1
ST1288,21,0,9,200,44,3.5,6,2,1,1
ST1289,22,1,10,200,87,1.94,0,2,1,0
ST1290,23,0,9,500,50,4.16,5,1,1,1
ST1291,33,1,1,200,81,3.37,6,2,0,1
ST1292,19,1,5,400,64,3.31,5,2,1,1
ST1293,18,1,2,500,93,1.16,0,0,1,1
ST1294,19,0,4,300,100,2.32,3,2,1,1
ST1295,31,0,3,500,95,2.54,1,1,0,1
ST1296,28,0,13,100,54,5.0,1,0,1,1
ST1297,26,0,1,300,57,4.72,4,2,1,1
ST1298,26,0,11,200,55,4.16,0,2,0,1
ST1299,20,0,10,200,51,1.04,1,0,0,1
ST1300,35,1,11,400,57,3.87,1,0,1,1
ST1301,16,1,4,200,58,3.59,6,2,0,1
ST1302,29,1,10,100,35,1.5,2,1,0,1
ST1303,35,0,13,300,49,2.66,0,1,0,1
ST1304,34,1,11,400,74,2.67,3,2,0,1
ST1305,20,1,14,100,46,2.59,7,1,1,1
ST1306,35,0,11,300,83,2.76,3,2,0,0
ST1307,21,0,8,400,57,3.91,4,0,0,1
ST1308,34,1,3,500,87,3.59,7,2,1,1
ST1309,27,1,1,200,61,4.57,7,2,0,1
ST1310,29,1,3,200,58,2.78,6,1,0,1
ST1311,32,1,4,100,43,2.36,8,1,1,1
ST1312,22,1,8,200,70,4.46,6,1,1,1
ST1313,16,0,13,400,54,3.51,6,1,1,1
ST1314,32,1,12,300,87,1.39,0,2,1,1
ST1315,21,0,2,300,77,4.03,3,2,0,1
ST1316,19,0,5,300,30,1.85,6,1,0,1
ST1317,29,0,10,300,87,1.55,1,2,0,0
ST1318,23,1,14,300,86,0.82,3,1,0,1
ST1319,33,0,12,200,52,2.16,4,2,1,1
ST1320,35,0,11,300,80,3.08,2,2,1,0
ST1321,28,1,4,100,95,4.72,8,1,1,1
ST1322,23,0,14,200,47,3.65,2,0,1,1
ST1323,31,1,9,300,65,1.0,4,2,0,1
ST1324,20,1,8,400,36,3.96,5,0,0,1
ST1325,18,1,0,500,30,3.31,4,0,0,1
ST1326,28,1,11,300,32,1.35,8,0,0,1
ST1327,30,0,11,300,36,1.2,7,0,0,1
ST1328,19,1,0,200,33,4.46,8,1,0,1
ST1329,18,0,14,200,87,4.52,8,0,0,1
ST1330,17,0,5,500,99,1.72,0,2,1,1
ST1331,19,1,12,100,67,2.96,1,0,0,1
ST1332,21,0,1,100,43,2.56,3,2,1,1
ST1333,19,1,7,100,73,4.08,8,0,0,1
ST1334,32,0,13,300,86,3.12,3,1,1,1
ST1335,22,0,13,200,43,2.06,4,2,0,1
ST1336,33,1,9,300,95,4.34,7,0,0,1
ST1337,25,1,3,200,34,2.66,1,1,0,1
ST1338,32,1,6,500,96,2.31,7,0,1,1
ST1339,19,0,11,100,97,4.99,4,0,1,1
ST1340,34,0,3,100,35,3.85,6,0,1,1
ST1341,22,0,0,200,59,4.44,2,1,0,1
ST1342,28,1,7,400,61,4.92,2,2,1,1
ST1343,18,1,5,200,34,2.8,4,0,1,1
ST1344,23,1,4,200,56,2.12,1,0,1,1
ST1345,26,1,7,400,85,0.78,4,0,0,1
ST1346,31,0,14,200,59,4.76,3,1,0,1
ST1347,35,1,9,100,66,2.99,4,2,0,1
ST1348,34,0,4,300,85,2.91,1,1,0,1
ST1349,24,0,11,200,84,4.14,8,0,0,0
ST1350,25,0,12,400,35,2.16,2,2,1,1
ST1351,21,0,10,100,85,1.21,7,0,1,1
ST1352,18,0,3,100,71,1.38,1,0,1,1
ST1353,35,1,5,100,63,1.57,8,1,0,1
ST1354,23,0,1,500,72,1.36,0,2,1,1
ST1355,21,1,0,300,97,4.07,1,1,1,0
ST1356,23,0,9,400,37,4.05,6,1,0,1
ST1357,29,0,9,500,54,1.3,8,2,1,1
ST1358,23,1,4,400,69,1.63,2,2,0,1
ST1359,26,0,5,300,32,4.72,4,1,0,1
ST1360,25,0,3,200,53,3.27,3,2,0,1
ST1361,25,0,7,400,42,2.19,7,0,1,1
ST1362,26,0,11,500,33,3.15,2,0,0,1
ST1363,16,1,4,400,99,1.89,8,2,0,1
ST1364,30,0,4,300,63,3.9,4,1,1,1
ST1365,20,0,1,400,55,2.03,8,0,0,1
ST1366,29,0,5,200,59,1.01,1,1,1,1
ST1367,35,0,14,300,60,3.28,2,0,0,0
ST1368,23,1,9,100,89,1.11,3,1,0,1
ST1369,32,1,2,500,53,4.45,1,2,1,1
ST1370,19,1,9,200,79,1.71,2,0,0,1
ST1371,19,0,9,500,69,3.95,1,1,0,1
ST1372,33,0,11,200,31,2.67,5,1,0,1
ST1373,34,0,6,100,66,4.23,5,2,0,1
ST1374,18,0,2,100,76,2.26,7,0,0,1
ST1375,24,0,13,100,95,1.62,8,2,0,1
ST1376,22,0,4,200,64,4.66,7,0,1,1
ST1377,17,0,6,500,63,0.65,4,0,0,1
ST1378,24,1,10,400,53,1.76,5,1,1,1
ST1379,21,0,4,500,80,1.22,0,2,1,1
ST1380,21,0,1,400,47,2.23,4,0,0,1
ST1381,31,1,7,200,61,2.0,0,2,0,1
ST1382,17,1,13,200,32,4.87,1,2,0,1
ST1383,31,1,5,300,37,1.52,1,2,1,1
ST1384,18,1,11,400,81,0.62,3,0,0,1
ST1385,31,1,7,500,50,4.98,3,1,0,1
ST1386,27,1,5,400,32,2.27,2,2,0,1
ST1387,18,1,4,100,43,2.13,5,0,0,1
ST1388,26,1,5,200,63,3.52,6,1,1,1
ST1389,26,1,3,100,91,2.53,6,2,0,1
ST1390,31,1,10,100,89,4.58,2,2,1,1
ST1391,20,0,12,100,97,2.34,3,0,0,0
ST1392,35,1,3,400,35,3.0,6,2,0,1
ST1393,23,1,1,200,68,2.2,5,1,0,1
ST1394,26,1,8,500,81,1.07,1,1,0,1
ST1395,26,0,2,500,54,4.13,7,0,0,1
ST1396,33,0,10,200,82,4.59,2,0,0,1
ST1397,34,1,8,100,34,2.56,2,2,0,1
ST1398,25,0,7,400,52,3.42,1,1,0,1
ST1399,19,1,1,500,62,2.14,3,2,0,1
ST1400,25,1,8,200,86,1.85,2,2,1,1
ST1401,29,1,11,400,63,3.89,2,2,0,1
ST1402,21,1,3,200,59,2.87,0,0,0,1
ST1403,20,0,11,200,44,0.58,4,2,0,1
ST1404,30,1,7,500,100,3.75,2,1,1,1
ST1405,20,1,7,400,37,4.46,5,2,0,1
ST1406,21,1,2,500,68,2.63,5,2,0,1
ST1407,34,1,14,300,87,1.02,8,0,0,1
ST1408,35,0,11,200,51,1.1,1,1,1,1
ST1409,32,0,6,300,32,3.15,7,2,1,1
ST1410,29,1,5,200,79,2.82,4,0,0,1
ST1411,26,0,6,100,49,3.29,2,2,0,1
ST1412,29,1,2,100,61,4.63,1,2,0,1
ST1413,20,0,14,300,59,3.23,5,2,0,1
ST1414,28,0,5,300,34,4.98,0,0,1,1
ST1415,27,1,5,100,97,1.34,8,1,0,1
ST1416,34,0,6,500,57,4.16,6,2,1,1
ST1417,25,0,13,300,38,4.24,8,2,1,1
ST1418,28,0,11,500,62,0.66,2,1,1,1
ST1419,30,1,10,100,97,4.62,5,2,1,0
ST1420,35,1,8,100,68,4.18,2,2,0,1
ST1421,28,0,2,100,86,3.54,7,1,1,1
ST1422,19,1,6,400,45,3.15,7,2,1,1
ST1423,24,0,12,300,61,0.97,0,1,1,1
ST1424,34,1,9,100,80,1.28,6,0,1,1
ST1425,35,1,6,100,89,2.46,4,0,0,1
ST1426,22,1,5,400,51,3.28,4,1,1,1
ST1427,30,0,2,100,31,4.91,8,2,1,1
ST1428,32,1,3,100,37,3.86,3,2,0,1
ST1429,29,1,13,500,57,4.43,2,0,0,1
ST1430,29,1,12,200,97,3.52,4,2,0,1
ST1431,24,1,13,200,63,3.83,5,1,0,1
ST1432,31,1,6,100,34,4.61,0,1,1,1
ST1433,17,1,7,200,87,2.88,2,2,1,1
ST1434,29,1,10,300,42,1.3,0,2,0,1
ST1435,19,0,1,200,95,0.56,5,1,1,1
ST1436,18,0,2,300,67,2.53,8,2,0,1
ST1437,18,1,13,500,80,1.61,0,0,1,1
ST1438,26,1,13,400,46,1.72,5,0,1,1
ST1439,20,1,4,500,88,1.18,8,2,0,1
ST1440,31,1,2,200,61,3.53,6,1,1,1
ST1441,34,0,13,400,31,2.7,5,2,0,1
ST1442,24,1,12,500,78,4.8,1,0,1,1
ST1443,26,1,12,300,43,4.37,7,0,1,1
ST1444,27,1,2,200,100,3.99,6,0,0,0
ST1445,23,1,3,300,88,1.18,8,2,0,1
ST1446,29,0,11,200,35,3.79,3,1,1,1
ST1447,32,0,13,500,65,1.35,5,0,0,1
ST1448,35,0,3,100,76,4.67,8,2,0,1
ST1449,30,1,10,500,45,2.86,1,2,0,1
ST1450,30,1,1,200,58,4.47,6,2,1,1
ST1451,27,1,3,300,88,4.99,5,2,0,1
ST1452,24,1,9,200,36,3.76,0,0,1,1
ST1453,27,1,14,300,47,3.57,5,2,1,1
ST1454,34,1,14,400,59,1.27,0,1,1,1
ST1455,27,1,4,500,83,1.96,8,2,0,1
ST1456,26,0,7,200,51,0.86,2,1,0,1
ST1457,21,1,12,100,45,1.84,3,1,1,1
ST1458,23,1,14,200,64,4.45,8,0,0,1
ST1459,26,0,11,100,31,0.58,8,2,1,1
ST1460,18,0,14,100,60,3.64,1,0,0,1
ST1461,31,0,5,200,57,4.61,7,0,1,1
ST1462,21,0,5,200,59,3.52,6,2,1,1
ST1463,24,0,2,200,66,2.8,5,2,0,1
ST1464,24,0,7,200,78,1.54,7,2,1,1
ST1465,21,0,6,200,71,0.79,1,2,1,1
ST1466,20,1,7,500,57,2.13,2,1,1,1
ST1467,16,0,12,100,31,4.68,3,0,0,1
ST1468,18,1,1,500,100,2.46,0,0,0,0
ST1469,18,0,13,100,100,1.72,1,0,1,1
ST1470,27,1,12,400,82,1.37,8,1,0,1
ST1471,19,0,13,500,73,4.37,1,0,0,0
ST1472,31,0,5,500,83,1.99,0,2,0,1
ST1473,26,1,4,300,60,3.76,0,2,0,1
ST1474,23,1,12,100,68,1.46,7,0,0,1
ST1475,24,1,4,200,90,0.65,3,0,0,1
ST1476,29,0,7,300,67,3.92,5,0,1,1
ST1477,30,0,7,100,85,1.35,4,0,1,1
ST1478,34,0,7,400,41,0.93,5,1,0,1
ST1479,24,0,8,500,35,1.72,8,2,1,1
ST1480,32,0,11,200,77,3.44,5,1,1,1
ST1481,24,1,1,500,43,2.38,4,0,0,1
ST1482,18,1,6,200,98,4.76,6,1,1,1
ST1483,31,0,10,100,41,4.72,6,1,0,1
ST1484,28,0,8,300,93,4.57,4,2,1,1
ST1485,32,0,9,300,79,2.93,7,0,0,1
ST1486,19,1,2,400,49,3.7,4,2,1,1
ST1487,24,1,8,200,77,3.75,4,0,0,1
ST1488,24,1,13,500,46,1.02,1,0,1,1
ST1489,33,1,8,500,45,4.22,8,0,0,1
ST1490,29,1,4,400,86,2.77,4,2,0,1
ST1491,35,1,13,200,73,3.87,8,1,0,1
ST1492,18,0,6,400,45,0.91,5,2,1,1
ST1493,19,1,9,400,51,2.92,1,1,1,1
ST1494,16,1,1,500,58,2.02,4,1,1,1
ST1495,33,0,5,300,55,4.05,2,0,0,1
ST1496,19,0,14,300,90,1.72,3,0,0,0
ST1497,25,1,13,100,77,3.91,4,2,1,1
ST1498,19,0,0,100,39,3.48,0,0,0,1
ST1499,32,1,1,300,64,2.29,7,2,0,1
ST1500,23,0,8,200,84,4.37,6,2,1,1
ST1501,34,1,7,500,82,4.61,1,1,1,1
ST1502,24,0,6,400,54,3.14,6,0,0,1
ST1503,31,0,9,100,57,0.57,6,1,0,1
ST1504,30,0,10,500,80,1.86,5,0,1,1
ST1505,35,1,9,400,68,4.86,8,1,0,1
ST1506,31,1,4,400,44,3.74,3,0,1,1
ST1507,27,1,0,400,31,1.85,2,0,0,1
ST1508,33,0,13,100,86,1.44,6,1,1,1
ST1509,22,1,4,300,60,3.66,1,1,0,1
ST1510,31,0,13,100,45,0.81,4,1,0,1
ST1511,34,0,8,200,57,1.11,1,2,1,1
ST1512,21,0,5,200,64,3.29,6,0,0,1
ST1513,21,1,11,400,60,0.98,3,0,0,1
